Player,Position,PreVORP,RichVal
Nico Hischier,C,328.98467868597794,58.98467868597794
Jeff Skinner,LW,294.55706419660567,39.557064196605666
Cale Makar,D,395.18302126134904,175.18302126134904
Jordan Kyrou,"LW,RW",307.740603403182,62.74060340318198
Tim Stutzle,"C,LW",338.2940047220091,83.2940047220091
Brad Marchand,LW,388.1663228611563,133.1663228611563
Tomas Hertl,C,291.808223153461,21.808223153460972
Elias Lindholm,C,345.97513555820836,75.97513555820836
Johnny Gaudreau,LW,345.6764177227333,90.67641772273328
Mathew Barzal,C,286.6448428866836,16.64484288668359
Jamie Benn,"C,LW",274.6034643954507,19.603464395450715
J.T. Miller,"C,LW,RW",346.2664885347088,101.2664885347088
Dylan Larkin,C,293.66120086578394,23.66120086578394
Drake Batherson,RW,276.94730902453006,31.947309024530057
Dylan Cozens,C,281.91932450641224,11.919324506412238
Kevin Hayes,"C,LW",244.28870622929682,-10.711293770703179
Chandler Stephenson,"C,LW,RW",279.3063185190191,34.3063185190191
Robert Thomas,C,258.326070497345,-11.673929502655028
Quinn Hughes,D,291.266630300176,71.26663030017602
Mark Scheifele,C,328.96961654639966,58.96961654639966
Filip Forsberg,LW,319.9097617042515,64.90976170425148
Jake Guentzel,LW,375.24456013650774,120.24456013650774
Andrei Kuzmenko,"LW,RW",221.12274918997542,-23.877250810024577
Martin Necas,RW,311.9967587168049,66.99675871680489
Alex DeBrincat,LW,362.2825882028892,107.2825882028892
Claude Giroux,"C,RW",272.8690327216344,27.869032721634426
Brock Nelson,C,295.78988843275255,25.789888432752548
Brandon Hagel,"LW,RW",256.72087274954725,11.720872749547254
Mark Stone,RW,298.34697750043904,53.34697750043904
Tyler Toffoli,"LW,RW",294.7368006819978,49.736800681997806
Clayton Keller,"LW,RW",270.63954714963955,25.639547149639554
Dougie Hamilton,D,320.53415900364064,100.53415900364064
Nick Suzuki,C,272.09732312595054,2.0973231259505383
Jakub Vrana,LW,243.27924469240705,-11.720755307592952
Pavel Buchnevich,"LW,RW",326.2776847508746,81.27768475087458
Sebastian Aho,C,383.1272483875043,113.12724838750432
Aleksander Barkov,C,407.34030281923515,137.34030281923515
Andre Burakovsky,"LW,RW",272.4632267139831,27.46322671398309
Brandon Montour,D,268.7209777697225,48.72097776972248
Evgeny Kuznetsov,C,275.3995675337907,5.399567533790673
Cole Caufield,"LW,RW",295.79062928787573,50.79062928787573
Carter Verhaeghe,LW,284.5433609297658,29.54336092976581
Matty Beniers,C,286.42799212660736,16.427992126607364
Logan Couture,C,247.31621786785024,-22.68378213214976
Roman Josi,D,375.5690586489557,155.56905864895572
Troy Terry,RW,280.6643675722043,35.6643675722043
Miro Heiskanen,D,274.6167682380102,54.616768238010195
Andrei Svechnikov,LW,371.5323761280407,116.53237612804071
Nazem Kadri,C,315.70497085783455,45.70497085783455
Patrice Bergeron,C,359.7784355609766,89.77843556097662
Trevor Zegras,"C,LW",285.9489924756982,30.94899247569822
Anze Kopitar,C,281.4566195914089,11.456619591408923
David Krejci,C,242.0018469283134,-27.998153071686602
Anthony Cirelli,"C,LW",202.59972886546078,-52.400271134539224
Jordan Eberle,RW,229.60870305598826,-15.391296944011742
Joel Eriksson Ek,C,294.2767029290742,24.27670292907419
Matt Duchene,RW,275.8240171489997,30.8240171489997
Anthony Duclair,RW,215.03969093959202,-29.96030906040798
Jack Eichel,C,359.1469295888443,89.14692958884427
Phillip Danault,C,241.91244993506737,-28.08755006493263
Viktor Arvidsson,"LW,RW",259.80221409776635,14.802214097766353
Brayden Schenn,"C,LW",229.2180527907742,-25.78194720922579
Luke Schenn,D,134.71400067542515,-85.28599932457485
Vince Dunn,D,237.07634489763527,17.076344897635266
Alex Killorn,"LW,RW",250.05126212191078,5.051262121910781
Artturi Lehkonen,"LW,RW",278.27192245472935,33.27192245472935
Dylan Strome,"C,RW",228.74718862715648,-16.252811372843524
Tyson Barrie,D,259.7624927855194,39.762492785519385
Gabriel Vilardi,"LW,RW",197.55040383312704,-47.449596166872965
Michael Bunting,LW,279.91176791386073,24.91176791386073
Dominik Kubalik,"LW,RW",255.5088822612583,10.508882261258293
Sam Reinhart,"C,RW",297.2196778764875,52.21967787648748
Vincent Trocheck,C,281.26569738550256,11.265697385502563
Tyler Seguin,"C,RW",239.82818322690855,-5.17181677309145
Jonathan Huberdeau,"LW,RW",336.01471871096834,91.01471871096834
Filip Hronek,D,220.77535870271788,0.775358702717881
Mikhail Sergachev,D,279.8120282033494,59.81202820334943
Jared McCann,"C,LW",249.18899076996695,-5.811009230033051
Chris Kreider,"LW,RW",339.9415767174694,94.94157671746939
Adrian Kempe,"C,LW,RW",275.0022241227567,30.002224122756672
Jake DeBrusk,"LW,RW",265.33796726713814,20.33796726713814
Rickard Rakell,"LW,RW",245.89294979673363,0.8929497967336317
Anders Lee,LW,286.8980384390353,31.898038439035304
David Perron,RW,293.1148544038553,48.114854403855304
Max Domi,"C,LW,RW",215.97865035291835,-29.02134964708165
Taylor Hall,LW,266.1148326621687,11.11483266216868
Lucas Raymond,RW,267.2051694566313,22.205169456631324
Blake Wheeler,RW,262.65921672587467,17.65921672587467
William Karlsson,"C,LW",230.22036379942196,-24.77963620057804
Rasmus Andersson,D,261.9181550121955,41.918155012195484
Reilly Smith,"LW,RW",241.4238902528718,-3.576109747128214
Jonathan Marchessault,"LW,RW",308.26202091485845,63.262020914858454
Matt Boldy,"LW,RW",314.43750199304225,69.43750199304225
Jason Zucker,LW,199.71958079330625,-55.28041920669375
Vladimir Tarasenko,RW,281.0318299638214,36.031829963821394
Gabriel Landeskog,"C,LW",318.2153460158643,63.21534601586433
Kirby Dach,"C,RW",224.82377545958073,-20.17622454041927
Pavel Zacha,"C,LW,RW",204.4514159839618,-40.548584016038205
Brent Burns,D,278.6151112202891,58.61511122028912
Yanni Gourde,C,236.17314857180173,-33.82685142819827
Hampus Lindholm,D,247.1064183963103,27.10641839631029
Daniel Sprong,"LW,RW",184.5770771579594,-60.422922842040606
Ivan Provorov,D,216.6815848580195,-3.318415141980495
Conor Sheary,"LW,RW",202.9649776170755,-42.035022382924495
Sam Bennett,C,276.26696572878836,6.266965728788364
J.T. Compher,"C,RW",193.39275767692988,-51.607242323070125
Shayne Gostisbehere,D,226.4391685006244,6.43916850062439
Patrick Kane,RW,312.50333732076916,67.50333732076916
Evander Kane,LW,337.79803078982906,82.79803078982906
Alexander Barabanov,"LW,RW",188.3979525862069,-56.60204741379309
Gustav Forsling,D,240.86887383494303,20.86887383494303
Alex Pietrangelo,D,289.66827954122397,69.66827954122397
Victor Hedman,D,343.22329141543156,123.22329141543156
