Player,RichVal,RichValRank,RotoWireRank,DifferenceRoto,DomRank,DifferenceDom,DynastyRank,Difference Dynasty,,,,50
Jacob Trouba,11.19966941,152,171,TRUE,118,TRUE,231,FALSE,,,,
Mathew Barzal,9.716782149,153,123,TRUE,185,TRUE,47,FALSE,,,,
Jaccob Slavin,7.958234021,154,214,FALSE,151,TRUE,#N/A,#N/A,,,,
Neal Pionk,6.705173618,155,241,FALSE,166,TRUE,126,TRUE,,,,
Logan Thompson,5.820911855,156,17,FALSE,157,TRUE,#N/A,#N/A,,,,
Josh Morrissey,4.791693922,157,217,FALSE,96,FALSE,201,TRUE,,,,
Laurent Brossoit,4.090001751,158,#N/A,#N/A,165,TRUE,#N/A,#N/A,,,,
Jake Sanderson,3.824199501,159,#N/A,#N/A,162,TRUE,#N/A,#N/A,,,,
Mats Zuccarello,3.059554035,160,90,FALSE,113,TRUE,#N/A,#N/A,,,,
Zach Hyman,2.848181322,161,118,TRUE,141,TRUE,103,FALSE,,,,
Brock Nelson,2.377298154,162,141,TRUE,201,TRUE,246,FALSE,,,,
Cam Atkinson,2.370274928,163,180,TRUE,192,TRUE,207,TRUE,,,,
Mark Giordano,2.140566289,164,273,FALSE,153,TRUE,214,FALSE,,,,
Anton Forsberg,1.235334664,165,34,FALSE,207,TRUE,#N/A,#N/A,,,,
Rasmus Andersson,0.299341402,166,168,TRUE,109,FALSE,#N/A,#N/A,,,,
Sean Couturier,0.235205947,167,134,TRUE,216,TRUE,60,FALSE,,,,
Drake Batherson,-0.196941935,168,117,FALSE,191,TRUE,116,FALSE,,,,
Jeff Petry,-0.461697121,169,272,FALSE,155,TRUE,118,FALSE,,,,
Adrian Kempe,-1.016212487,170,129,TRUE,148,TRUE,#N/A,#N/A,,,,
Sam Bennett,-1.087284809,171,71,FALSE,176,TRUE,248,FALSE,,,,
Petr Mrazek,-1.23649065,172,#N/A,#N/A,196,TRUE,228,FALSE,,,,
Dylan Larkin,-2.221937753,173,70,FALSE,158,TRUE,111,FALSE,,,,
Alex Killorn,-2.453843647,174,124,FALSE,178,TRUE,#N/A,#N/A,,,,
Jared Spurgeon,-2.605432192,175,234,FALSE,119,FALSE,180,TRUE,,,,
Vincent Trocheck,-2.84789279,176,99,FALSE,187,TRUE,107,FALSE,,,,
John Klingberg,-4.201824483,177,267,FALSE,107,FALSE,100,FALSE,,,,
Alexis Lafreniere,-4.3166148,178,262,FALSE,211,TRUE,42,FALSE,,,,
Cal Petersen,-4.837490728,179,35,FALSE,212,TRUE,249,FALSE,,,,
Robert Thomas,-5.201355105,180,108,FALSE,224,TRUE,#N/A,#N/A,,,,
Andrew Mangiapane,-5.240889574,181,100,FALSE,175,TRUE,#N/A,#N/A,,,,
Conor Garland,-5.828311406,182,112,FALSE,202,TRUE,96,FALSE,,,,
Troy Terry,-6.257050823,183,139,TRUE,190,TRUE,#N/A,#N/A,,,,
Alex Stalock,-6.698404789,184,#N/A,#N/A,205,TRUE,#N/A,#N/A,,,,
Tyler Bertuzzi,-7.11031644,185,144,TRUE,179,TRUE,165,TRUE,,,,
Ryan Pulock,-7.3217304,186,298,FALSE,163,TRUE,114,FALSE,,,,
Ilya Samsonov,-8.713048133,187,18,FALSE,197,TRUE,186,TRUE,,,,
Filip Gustavsson,-10.22955104,188,#N/A,#N/A,223,TRUE,#N/A,#N/A,,,,
T.J. Oshie,-10.6674555,189,264,FALSE,203,TRUE,209,TRUE,,,,
Joel Eriksson Ek,-10.99890139,190,104,FALSE,177,TRUE,#N/A,#N/A,,,,
